('trial', 'p', 'count', 'time')
(0, 0.1, 0.0, 0.3353557586669922)
(1, 0.1, 1.0, 0.32715702056884766)
(2, 0.1, 3.0, 0.3311476707458496)
(3, 0.1, 2.0, 0.3221166133880615)
(0, 0.3, 77.0, 0.6140470504760742)
(1, 0.3, 79.0, 0.6533124446868896)
(2, 0.3, 83.0, 0.6529760360717773)
(3, 0.3, 69.0, 0.6686933040618896)
(0, 0.5, 329.0, 1.0909876823425293)
(1, 0.5, 356.0, 1.4072353839874268)
(2, 0.5, 347.0, 1.298445224761963)
(3, 0.5, 365.0, 1.1466374397277832)
(0, 0.7, 926.0, 1.6413543224334717)
(1, 0.7, 909.0, 1.7186050415039062)
(2, 0.7, 975.0, 1.904494285583496)
(3, 0.7, 930.0, 2.042372703552246)
(0, 1, 2728.0, 2.9639642238616943)
(1, 1, 2728.0, 2.733879327774048)
(2, 1, 2728.0, 2.8915228843688965)
(3, 1, 2728.0, 3.031507968902588)
