('trial', 'p', 'count', 'time')
(0, 0.1, 471.0, 0.94368577003479)
(1, 0.1, 502.0, 0.6592607498168945)
(2, 0.1, 481.0, 0.6667745113372803)
(3, 0.1, 502.0, 0.6492176055908203)
(4, 0.1, 486.0, 1.0577199459075928)
(0, 0.3, 12991.0, 2.7294247150421143)
(1, 0.3, 12717.0, 2.4142210483551025)
(2, 0.3, 13027.0, 2.3876147270202637)
(3, 0.3, 12746.0, 2.3114254474639893)
(4, 0.3, 12616.0, 2.367919921875)
(0, 0.5, 61515.0, 4.606944799423218)
(1, 0.5, 60647.0, 6.627286195755005)
(2, 0.5, 59807.0, 6.559465646743774)
(3, 0.5, 60305.0, 7.919419050216675)
(4, 0.5, 59941.0, 7.097689628601074)
(0, 0.7, 165269.0, 7.600250005722046)
(1, 0.7, 163847.0, 7.378161668777466)
(2, 0.7, 165230.0, 7.050270318984985)
(3, 0.7, 164609.0, 6.840123891830444)
(4, 0.7, 163125.0, 12.329986333847046)
(0, 1, 480193.0, 18.987552881240845)
(1, 1, 480193.0, 12.150075912475586)
(2, 1, 480193.0, 11.299697160720825)
(3, 1, 480193.0, 11.61556625366211)
(4, 1, 480193.0, 11.945997714996338)
