('trial', 'p', 'count', 'time')
(0, 0.1, 1616.0, 0.5553684234619141)
(1, 0.1, 1608.0, 0.5322935581207275)
(2, 0.1, 1541.0, 0.46738553047180176)
(3, 0.1, 1599.0, 0.6064605712890625)
(4, 0.1, 1607.0, 0.45821309089660645)
(0, 0.3, 43917.0, 1.7082998752593994)
(1, 0.3, 43564.0, 1.7690176963806152)
(2, 0.3, 44433.0, 1.7928237915039062)
(3, 0.3, 44640.0, 3.0502867698669434)
(4, 0.3, 44709.0, 3.1040198802948)
(0, 0.5, 205274.0, 11.313100814819336)
(1, 0.5, 202227.0, 13.240202188491821)
(2, 0.5, 205521.0, 14.348907709121704)
(3, 0.5, 200130.0, 14.464263439178467)
(4, 0.5, 205434.0, 15.102450609207153)
(0, 0.7, 561499.0, 28.138870239257812)
(1, 0.7, 562799.0, 28.631195306777954)
(2, 0.7, 559494.0, 27.621413230895996)
(3, 0.7, 557397.0, 26.11180019378662)
(4, 0.7, 556805.0, 27.870075941085815)
(0, 1, 1624481.0, 41.5963032245636)
(1, 1, 1624481.0, 51.69901990890503)
(2, 1, 1624481.0, 102.96456670761108)
(3, 1, 1624481.0, 54.847047328948975)
(4, 1, 1624481.0, 57.68098044395447)
