('trial', 'p', 'count', 'time')
(0, 0.1, 1678.0, 0.6808967590332031)
(1, 0.1, 1652.0, 0.7335302829742432)
(2, 0.1, 1718.0, 0.6829233169555664)
(3, 0.1, 1660.0, 0.6812770366668701)
(4, 0.1, 1692.0, 0.7801868915557861)
(0, 0.3, 44086.0, 2.700279712677002)
(1, 0.3, 43838.0, 2.989901542663574)
(2, 0.3, 45027.0, 3.5771443843841553)
(3, 0.3, 43222.0, 4.462734937667847)
(4, 0.3, 43793.0, 7.475196123123169)
(0, 0.5, 198086.0, 17.864989042282104)
(1, 0.5, 204238.0, 21.855656385421753)
(2, 0.5, 201279.0, 23.400530099868774)
(3, 0.5, 207883.0, 22.956455945968628)
(4, 0.5, 203164.0, 24.30908203125)
(0, 0.7, 561449.0, 36.03829503059387)
(1, 0.7, 557754.0, 38.24814486503601)
(2, 0.7, 558126.0, 38.10840106010437)
(3, 0.7, 557855.0, 21.549611806869507)
(4, 0.7, 562128.0, 35.34699535369873)
(0, 1, 1624481.0, 120.66563940048218)
(1, 1, 1624481.0, 74.22162938117981)
(2, 1, 1624481.0, 57.914522886276245)
(3, 1, 1624481.0, 59.98755431175232)
(4, 1, 1624481.0, 80.6780571937561)
