('trial', 'p', 'count', 'time')
(0, 0.1, 1655.0, 1493.4090220928192)
(1, 0.1, 1585.0, 1276.9270713329315)
(2, 0.1, 1583.0, 1416.4107434749603)
(3, 0.1, 1533.0, 1528.0459289550781)
(4, 0.1, 1587.0, 1327.8028004169464)
(0, 0.3, 44076.0, 10562.892603874207)
(1, 0.3, 45118.0, 8789.338586091995)
(2, 0.3, 42890.0, 11571.248959302902)
(3, 0.3, 43368.0, 9144.76764202118)
(4, 0.3, 42993.0, 11555.91603565216)
(0, 0.5, 203727.0, 14285.841537475586)
(1, 0.5, 201148.0, 18199.670144319534)
(2, 0.5, 204843.0, 15776.026602983475)
(3, 0.5, 204624.0, 19171.45252609253)
(4, 0.5, 203317.0, 19704.816312789917)
(0, 0.7, 557691.0, 49069.91532969475)
(1, 0.7, 558680.0, 70082.33553504944)
(2, 0.7, 554618.0, 47303.74620294571)
(3, 0.7, 557385.0, 50563.78018808365)
(4, 0.7, 552222.0, 55070.77682900429)
(0, 1, 1624481.0, 64256.97371220589)
(1, 1, 1624481.0, 82681.20639181137)
(2, 1, 1624481.0, 83795.77836728096)
(3, 1, 1624481.0, 84989.39755010605)
(4, 1, 1624481.0, 69735.07434821129)
