('trial', 'p', 'count', 'time')
(0, 0.1, 1210.9674728151215, 110.05224609375)
(1, 0.1, 1131.405870678281, 106.83425235748291)
(2, 0.1, 1306.6290804817822, 103.99117183685303)
(3, 0.1, 1171.568949692198, 107.64655613899231)
(4, 0.1, 1001.0720343231324, 104.38170170783997)
(0, 0.3, 39374.03834885004, 259.9232428073883)
(1, 0.3, 43384.12927354896, 267.7495632171631)
(2, 0.3, 36576.235474105735, 260.73555088043213)
(3, 0.3, 40272.8315092563, 268.2181668281555)
(4, 0.3, 38215.57684510207, 264.9845521450043)
(0, 0.5, 212091.51743144295, 405.52962136268616)
(1, 0.5, 212678.24292492855, 404.51423740386963)
(2, 0.5, 203722.39758674003, 403.6394453048706)
(3, 0.5, 192006.3448041258, 411.5594873428345)
(4, 0.5, 170828.3443893994, 409.3880891799927)
(0, 0.7, 528315.6199131752, 543.3878257274628)
(1, 0.7, 543290.5006813837, 549.6675946712494)
(2, 0.7, 468682.09468643286, 531.0313515663147)
(3, 0.7, 424234.43306243396, 543.9970865249634)
(4, 0.7, 491499.4551960137, 540.0604839324951)
(0, 1, 1908318.2543274472, 734.6865811347961)
(1, 1, 1309227.1280904894, 757.6187193393707)
(2, 1, 1492360.9197224139, 734.202320098877)
(3, 1, 1400913.3889541947, 730.2969818115234)
(4, 1, 1686986.6542607758, 724.454610824585)
