('trial', 'p', 'count', 'time')
(0, 0.1, 1493.0, 0.35929369926452637)
(1, 0.1, 1471.3333333333333, 0.43739771842956543)
(2, 0.1, 1458.6666666666667, 0.42174506187438965)
(3, 0.1, 1554.3333333333333, 0.3749103546142578)
(4, 0.1, 1577.6666666666667, 0.42177700996398926)
(0, 0.3, 39813.333333333336, 1.1872203350067139)
(1, 0.3, 39247.333333333336, 1.2340476512908936)
(2, 0.3, 39254.333333333336, 1.2028403282165527)
(3, 0.3, 39937.666666666664, 1.1872191429138184)
(4, 0.3, 39869.666666666664, 1.1247355937957764)
(0, 0.5, 185476.66666666666, 2.4682037830352783)
(1, 0.5, 184129.66666666666, 2.2963356971740723)
(2, 0.5, 186051.33333333334, 2.4837911128997803)
(3, 0.5, 184191.33333333334, 2.311955213546753)
(4, 0.5, 186227.66666666666, 2.4056499004364014)
(0, 0.7, 507820.6666666667, 4.092793226242065)
(1, 0.7, 511961.3333333333, 4.045929670333862)
(2, 0.7, 504828.0, 4.0303027629852295)
(3, 0.7, 510748.6666666667, 4.077164173126221)
(4, 0.7, 505690.6666666667, 3.967818260192871)
(0, 1, 1479942.0, 7.638829708099365)
(1, 1, 1479942.0, 7.59196662902832)
(2, 1, 1479942.0, 7.466995477676392)
(3, 1, 1479942.0, 7.451372861862183)
(4, 1, 1479942.0, 7.623240232467651)
