('trial', 'p', 'count', 'time')
(0, 0.1, 1384.0, 0.6092307567596436)
(1, 0.1, 1465.0, 0.6092338562011719)
(2, 0.1, 1457.0, 0.5467431545257568)
(3, 0.1, 1416.0, 0.5936086177825928)
(4, 0.1, 1447.0, 0.6092286109924316)
(0, 0.3, 39272.0, 1.6871013641357422)
(1, 0.3, 38990.0, 1.7183818817138672)
(2, 0.3, 40082.0, 2.10884690284729)
(3, 0.3, 40677.0, 1.7183141708374023)
(4, 0.3, 40287.0, 1.7495880126953125)
(0, 0.5, 183118.0, 3.2492315769195557)
(1, 0.5, 185400.0, 3.342958927154541)
(2, 0.5, 182511.0, 3.233576536178589)
(3, 0.5, 188509.0, 3.3897995948791504)
(4, 0.5, 185920.0, 3.264822006225586)
(0, 0.7, 506913.0, 5.467427015304565)
(1, 0.7, 505017.0, 5.45184326171875)
(2, 0.7, 508064.0, 5.3580849170684814)
(3, 0.7, 508392.0, 5.420602560043335)
(4, 0.7, 504798.0, 5.420599699020386)
(0, 1, 1478735.0, 9.669639587402344)
(1, 1, 1478735.0, 9.716467142105103)
(2, 1, 1478735.0, 9.669603824615479)
(3, 1, 1478735.0, 9.76332974433899)
(4, 1, 1478735.0, 9.747709512710571)
