('trial', 'p', 'count', 'time')
(0, 0.1, 335220.2327681245, 80.23792123794556)
(1, 0.1, 324961.48551558104, 80.00071310997009)
(2, 0.1, 333238.7081509719, 79.54378747940063)
(3, 0.1, 338921.1644184111, 81.52769827842712)
(4, 0.1, 337564.26252460916, 80.65290307998657)
(0, 0.3, 7930295.940445556, 146.84540033340454)
(1, 0.3, 8034282.354840361, 138.25673627853394)
(2, 0.3, 7939087.037813126, 142.3325960636139)
(3, 0.3, 7827479.773154943, 142.21654844284058)
(4, 0.3, 7880571.04218939, 139.82648730278015)
(0, 0.5, 35909963.357755885, 172.7562391757965)
(1, 0.5, 36247092.54922619, 166.88258814811707)
(2, 0.5, 36386027.6094574, 167.25753545761108)
(3, 0.5, 35818395.35948718, 164.50819301605225)
(4, 0.5, 35916772.41911458, 166.61706113815308)
(0, 0.7, 97475305.9293322, 188.0026524066925)
(1, 0.7, 96870688.37062997, 186.86229968070984)
(2, 0.7, 97655876.56826158, 180.9886817932129)
(3, 0.7, 97041950.4105376, 179.95767426490784)
(4, 0.7, 97288815.0541695, 183.28501319885254)
(0, 1, 279384257.872481, 195.45403003692627)
(1, 1, 280196709.2914901, 196.34444212913513)
(2, 1, 279832671.502548, 195.46965193748474)
(3, 1, 280140149.478611, 193.09521412849426)
(4, 1, 279952081.03673065, 190.83011651039124)
