('trial', 'p', 'count', 'time')
(0, 0.1, 1496.0, 344.8095257282257)
(1, 0.1, 1559.1666666666667, 365.19535088539124)
(2, 0.1, 1471.6666666666667, 362.38351678848267)
(3, 0.1, 1450.5, 359.8059992790222)
(4, 0.1, 1437.6666666666667, 360.8940212726593)
(0, 0.3, 40102.5, 877.77792096138)
(1, 0.3, 39995.333333333336, 880.3241996765137)
(2, 0.3, 38867.0, 888.70738697052)
(3, 0.3, 40711.0, 876.6688034534454)
(4, 0.3, 40123.5, 884.5731620788574)
(0, 0.5, 185005.5, 1071.482356786728)
(1, 0.5, 184308.33333333334, 1088.3690104484558)
(2, 0.5, 184032.83333333334, 1046.8943903446198)
(3, 0.5, 184938.83333333334, 1030.0858480930328)
(4, 0.5, 185255.5, 1027.1021690368652)
(0, 0.7, 504964.8333333333, 1156.806040763855)
(1, 0.7, 508173.8333333333, 1157.5714852809906)
(2, 0.7, 511070.1666666667, 1153.0982987880707)
(3, 0.7, 505455.1666666667, 1137.935478925705)
(4, 0.7, 509011.1666666667, 1152.3484830856323)
(0, 1, 1479637.0, 1261.7188675403595)
(1, 1, 1479637.0, 1257.8080780506134)
(2, 1, 1479637.0, 1267.930676460266)
(3, 1, 1479637.0, 1334.6370239257812)
(4, 1, 1479637.0, 1356.1859011650085)
