('trial', 'p', 'count', 'time')
(0, 0.1, 935.4474849313932, 113.47345113754272)
(1, 0.1, 1372.0322258027804, 114.97317504882812)
(2, 0.1, 1189.5434768569578, 199.62521696090698)
(3, 0.1, 1126.3569773441823, 197.46953225135803)
(4, 0.1, 877.9607874225812, 115.6761109828949)
(0, 0.3, 52822.84951464076, 278.8254623413086)
(1, 0.3, 32441.944281957796, 278.77867126464844)
(2, 0.3, 36361.59118223373, 280.1533169746399)
(3, 0.3, 32642.622984684072, 283.4650731086731)
(4, 0.3, 42788.724262504955, 285.30839467048645)
(0, 0.5, 174224.08721163875, 438.53822350502014)
(1, 0.5, 231302.16775459022, 431.38361740112305)
(2, 0.5, 219086.7586119964, 433.41438698768616)
(3, 0.5, 234018.2036402592, 431.55548191070557)
(4, 0.5, 164014.35751746563, 436.3043689727783)
(0, 0.7, 474168.5522127091, 588.5500285625458)
(1, 0.7, 603485.6856601019, 585.4413783550262)
(2, 0.7, 414993.35484035645, 586.0662362575531)
(3, 0.7, 470288.8443302735, 578.4899117946625)
(4, 0.7, 523278.1773861684, 573.4910778999329)
(0, 1, 1300087.2290681312, 785.0197913646698)
(1, 1, 1301062.8816008547, 787.8003933429718)
(2, 1, 1629935.1272241445, 784.3636953830719)
(3, 1, 1408479.8791204977, 788.7220189571381)
(4, 1, 1683862.803302521, 801.59401679039)
