('trial', 'p', 'count', 'time')
(0, 0.1, 1495.0, 0.578021764755249)
(1, 0.1, 1497.0, 0.6404635906219482)
(2, 0.1, 1496.0, 0.656132698059082)
(3, 0.1, 1489.0, 0.5624005794525146)
(4, 0.1, 1477.0, 0.6404740810394287)
(0, 0.3, 39892.0, 1.7339701652526855)
(1, 0.3, 39584.0, 1.7339651584625244)
(2, 0.3, 40121.0, 1.74955415725708)
(3, 0.3, 39732.0, 1.7495918273925781)
(4, 0.3, 39692.0, 1.6558260917663574)
(0, 0.5, 185863.0, 3.3742144107818604)
(1, 0.5, 186130.0, 3.249239921569824)
(2, 0.5, 184890.0, 3.3585925102233887)
(3, 0.5, 183533.0, 3.2179956436157227)
(4, 0.5, 185621.0, 3.3742151260375977)
(0, 0.7, 507730.0, 5.483092308044434)
(1, 0.7, 505500.0, 5.3268773555755615)
(2, 0.7, 506884.0, 5.48313045501709)
(3, 0.7, 507260.0, 5.3581602573394775)
(4, 0.7, 507328.0, 5.514347553253174)
(0, 1, 1478735.0, 9.669651508331299)
(1, 1, 1478735.0, 9.685274600982666)
(2, 1, 1478735.0, 9.57592511177063)
(3, 1, 1478735.0, 9.716482877731323)
(4, 1, 1478735.0, 9.685271263122559)
