('trial', 'p', 'count', 'time')
(0, 0.1, 1497.0, 0.5779902935028076)
(1, 0.1, 1413.0, 0.6092290878295898)
(2, 0.1, 1689.0, 0.5624046325683594)
(3, 0.1, 1380.0, 0.6092684268951416)
(4, 0.1, 1500.0, 0.6092236042022705)
(0, 0.3, 40457.0, 1.6714811325073242)
(1, 0.3, 41188.0, 1.7183811664581299)
(2, 0.3, 39751.0, 1.7339694499969482)
(3, 0.3, 40274.0, 1.7026937007904053)
(4, 0.3, 40369.0, 1.6558654308319092)
(0, 0.5, 186221.0, 3.2648279666900635)
(1, 0.5, 182948.0, 3.171135902404785)
(2, 0.5, 186449.0, 3.514800548553467)
(3, 0.5, 185169.0, 3.2180016040802)
(4, 0.5, 185410.0, 3.280482292175293)
(0, 0.7, 509640.0, 5.279980659484863)
(1, 0.7, 505717.0, 5.186326503753662)
(2, 0.7, 510667.0, 5.311295509338379)
(3, 0.7, 505054.0, 5.155047416687012)
(4, 0.7, 513612.0, 5.295675039291382)
(0, 1, 1478735.0, 9.435258626937866)
(1, 1, 1478735.0, 9.482192277908325)
(2, 1, 1478735.0, 9.263463497161865)
(3, 1, 1478735.0, 9.435298442840576)
(4, 1, 1478735.0, 9.419677734375)
