('trial', 'p', 'count', 'time')
(0, 0.1, 1420.0, 0.7249729633331299)
(1, 0.1, 1575.0, 0.8051435947418213)
(2, 0.1, 1447.0, 0.7300930023193359)
(3, 0.1, 1503.0, 0.714709997177124)
(4, 0.1, 1478.0, 0.7399418354034424)
(0, 0.3, 39665.0, 1.9501681327819824)
(1, 0.3, 39733.0, 1.8500256538391113)
(2, 0.3, 39841.0, 1.9401774406433105)
(3, 0.3, 39782.0, 1.9499754905700684)
(4, 0.3, 39907.0, 1.9203848838806152)
(0, 0.5, 185798.0, 3.740339994430542)
(1, 0.5, 185912.0, 3.7348506450653076)
(2, 0.5, 184638.0, 7.1402647495269775)
(3, 0.5, 187447.0, 4.838909387588501)
(4, 0.5, 182192.0, 4.165323972702026)
(0, 0.7, 508281.0, 6.636735916137695)
(1, 0.7, 508347.0, 6.859950542449951)
(2, 0.7, 505115.0, 6.730120658874512)
(3, 0.7, 510000.0, 6.68008279800415)
(4, 0.7, 511295.0, 6.934706687927246)
(0, 1, 1478735.0, 13.541675567626953)
(1, 1, 1478735.0, 13.429758071899414)
(2, 1, 1478735.0, 13.040310382843018)
(3, 1, 1478735.0, 13.704981565475464)
(4, 1, 1478735.0, 14.75479793548584)
