('trial', 'p', 'count', 'time')
(0, 0.1, 1570.0, 0.6248126029968262)
(1, 0.1, 1341.0, 0.624889612197876)
(2, 0.1, 1425.0, 0.5623352527618408)
(3, 0.1, 1474.0, 0.6248912811279297)
(4, 0.1, 1417.0, 0.6404438018798828)
(0, 0.3, 40022.0, 1.7340075969696045)
(1, 0.3, 39735.0, 1.6871044635772705)
(2, 0.3, 39913.0, 1.702777624130249)
(3, 0.3, 39357.0, 1.7808613777160645)
(4, 0.3, 39412.0, 1.6402370929718018)
(0, 0.5, 185295.0, 3.1867597103118896)
(1, 0.5, 182977.0, 3.2492787837982178)
(2, 0.5, 186643.0, 3.202376365661621)
(3, 0.5, 183468.0, 3.280519962310791)
(4, 0.5, 182910.0, 3.1242728233337402)
(0, 0.7, 503612.0, 5.280050754547119)
(1, 0.7, 503299.0, 5.24877405166626)
(2, 0.7, 509611.0, 5.2019219398498535)
(3, 0.7, 502575.0, 5.34246826171875)
(4, 0.7, 504320.0, 5.248776435852051)
(0, 1, 1478735.0, 9.325949668884277)
(1, 1, 1478735.0, 9.466538667678833)
(2, 1, 1478735.0, 9.404051542282104)
(3, 1, 1478735.0, 9.325984716415405)
(4, 1, 1478735.0, 9.513440132141113)
