('trial', 'p', 'count', 'time')
(0, 0.1, 1549.0, 0.562371015548706)
(1, 0.1, 1332.0, 0.6091959476470947)
(2, 0.1, 1538.0, 0.5623683929443359)
(3, 0.1, 1501.0, 0.6248517036437988)
(4, 0.1, 1502.0, 0.6091976165771484)
(0, 0.3, 40209.0, 1.7496278285980225)
(1, 0.3, 40362.0, 1.7183852195739746)
(2, 0.3, 40104.0, 1.7495546340942383)
(3, 0.3, 40101.0, 1.7339715957641602)
(4, 0.3, 39797.0, 1.6714825630187988)
(0, 0.5, 186294.0, 3.374209403991699)
(1, 0.5, 183860.0, 3.3742125034332275)
(2, 0.5, 185197.0, 3.4523160457611084)
(3, 0.5, 184154.0, 3.2648634910583496)
(4, 0.5, 185995.0, 3.3742504119873047)
(0, 0.7, 508510.0, 5.436229705810547)
(1, 0.7, 505700.0, 5.342536449432373)
(2, 0.7, 509557.0, 5.623720645904541)
(3, 0.7, 507231.0, 5.358089208602905)
(4, 0.7, 504809.0, 5.467472553253174)
(0, 1, 1478735.0, 9.841479539871216)
(1, 1, 1478735.0, 9.91955852508545)
(2, 1, 1478735.0, 9.607133388519287)
(3, 1, 1478735.0, 9.732105255126953)
(4, 1, 1478735.0, 9.779003381729126)
