('trial', 'p', 'count', 'time')
(0, 0.1, 2.0, 0.2394578456878662)
(1, 0.1, 0.0, 0.2814500331878662)
(2, 0.1, 4.0, 0.3172791004180908)
(3, 0.1, 2.0, 0.3528604507446289)
(4, 0.1, 8.0, 0.33839988708496094)
(0, 0.3, 70.0, 0.6665735244750977)
(1, 0.3, 69.0, 0.7295501232147217)
(2, 0.3, 63.0, 0.6268923282623291)
(3, 0.3, 64.0, 0.6692113876342773)
(4, 0.3, 70.0, 0.6297206878662109)
(0, 0.5, 338.0, 1.0182533264160156)
(1, 0.5, 324.0, 1.0161128044128418)
(2, 0.5, 340.0, 1.0663156509399414)
(3, 0.5, 336.0, 1.1022427082061768)
(4, 0.5, 344.0, 1.109302282333374)
(0, 0.7, 911.0, 1.7378709316253662)
(1, 0.7, 895.0, 1.7260096073150635)
(2, 0.7, 907.0, 1.6466915607452393)
(3, 0.7, 938.0, 1.6439189910888672)
(4, 0.7, 889.0, 1.602250337600708)
(0, 1, 2641.0, 2.7429676055908203)
(1, 1, 2641.0, 2.953794479370117)
(2, 1, 2641.0, 2.694692373275757)
(3, 1, 2641.0, 2.6127126216888428)
(4, 1, 2641.0, 2.499934196472168)
