('trial', 'p', 'count', 'time')
(0, 0.1, 1.0, 0.5162656307220459)
(1, 0.1, 4.0, 0.4850907325744629)
(2, 0.1, 2.0, 0.5020205974578857)
(3, 0.1, 1.0, 0.47133302688598633)
(4, 0.1, 3.0, 0.512256383895874)
(0, 0.3, 62.0, 0.971489667892456)
(1, 0.3, 60.0, 1.0206749439239502)
(2, 0.3, 61.0, 1.0714786052703857)
(3, 0.3, 79.0, 1.1334505081176758)
(4, 0.3, 71.0, 1.0207598209381104)
(0, 0.5, 298.0, 1.8357913494110107)
(1, 0.5, 329.0, 1.6198911666870117)
(2, 0.5, 327.0, 1.8644778728485107)
(3, 0.5, 319.0, 1.665304183959961)
(4, 0.5, 315.0, 1.7343792915344238)
(0, 0.7, 940.0, 2.9485254287719727)
(1, 0.7, 879.0, 2.6384623050689697)
(2, 0.7, 875.0, 2.6341211795806885)
(3, 0.7, 900.0, 2.698742389678955)
(4, 0.7, 940.0, 2.423994541168213)
(0, 1, 2641.0, 4.025362491607666)
(1, 1, 2641.0, 3.938948631286621)
(2, 1, 2641.0, 4.22454047203064)
(3, 1, 2641.0, 4.207355737686157)
(4, 1, 2641.0, 4.117848873138428)
