('trial', 'p', 'count', 'time')
(0, 0.1, 0.0, 1.4417877197265625)
(1, 0.1, 2.0, 2.0589404106140137)
(2, 0.1, 2.0, 2.4184420108795166)
(3, 0.1, 4.0, 2.0750532150268555)
(4, 0.1, 5.0, 2.0518252849578857)
(0, 0.3, 70.0, 2.904597759246826)
(1, 0.3, 82.0, 2.8903627395629883)
(2, 0.3, 63.0, 2.7463717460632324)
(3, 0.3, 60.0, 2.780261516571045)
(4, 0.3, 72.0, 3.108417510986328)
(0, 0.5, 347.0, 4.111980438232422)
(1, 0.5, 352.0, 4.230391979217529)
(2, 0.5, 339.0, 3.9996161460876465)
(3, 0.5, 317.0, 3.8413171768188477)
(4, 0.5, 325.0, 4.041051864624023)
(0, 0.7, 871.0, 6.656618356704712)
(1, 0.7, 909.0, 6.35695219039917)
(2, 0.7, 908.0, 6.681404113769531)
(3, 0.7, 888.0, 6.926526069641113)
(4, 0.7, 925.0, 6.583954095840454)
(0, 1, 2641.0, 13.562636137008667)
(1, 1, 2641.0, 13.786543130874634)
(2, 1, 2641.0, 12.921626806259155)
(3, 1, 2641.0, 13.743383884429932)
(4, 1, 2641.0, 13.630677223205566)
